1593527735.000000, 1593527735.000000, 1593527735.000000
32.000000, 32.000000, 32.000000
-60,30,6
-54,28,3
-56,26,5
-58,24,11
-54,23,14
-54,24,14
-56,23,14
-56,24,14
-56,24,16
-59,24,18
-58,24,19
-59,25,17
-60,24,17
-58,25,17
-54,26,17
-55,26,6
-55,25,0
-56,26,-5
-59,26,-12
-63,26,-15
-60,25,-15
-65,23,-16
-66,24,-15
-68,23,-19
-67,23,-11
-76,26,3
-70,31,9
-67,34,9
-59,37,7
-56,39,9
-46,40,13
-43,41,14
-34,47,17
-31,49,18
-22,52,26
-12,53,26
-12,53,24
0,54,32
4,52,34
-7,54,26
-9,53,23
-8,53,22
-7,55,23
-12,53,26
-11,53,27
-7,55,30
-6,59,28
-7,60,29
-8,60,30
-8,59,28
-3,59,27
0,57,29
-1,56,28
-1,57,28
-2,57,26
-2,56,26
-2,57,26
-3,57,28
-2,59,28
-4,59,28
-2,59,28
-2,59,29
-3,58,29
-3,58,29
-4,58,29
-3,58,28
-3,58,28
-3,58,28
-4,58,29
-4,58,29
-5,58,29
-5,57,29
-5,56,30
-5,56,30
-5,56,30
-5,55,29
-4,55,29
-5,57,31
-4,58,35
-8,60,43
-6,67,48
-3,69,52
-11,72,51
-13,73,46
-11,75,43
-9,71,32
1,67,33
4,65,32
5,62,33
7,57,29
3,51,32
8,44,39
12,44,39
7,37,42
1,30,42
-5,28,41
-8,20,42
-20,19,35
-26,17,37
-24,12,46
-24,12,54
-24,13,51
-25,18,44
-31,12,56
-29,13,55
-30,21,49
-37,24,43
-38,24,45
-32,30,47
-23,29,57
-30,29,58
-27,25,56
-28,22,55
-27,15,56
-27,14,51
-28,13,49
-36,18,47
-34,24,43
-31,27,44
-25,35,44
-24,40,40
-24,39,42
-26,39,46
-32,38,41
-32,39,45
-36,42,43
-35,45,40
-33,50,38
-30,55,43
-31,56,40
-26,51,44
-27,42,52
-34,39,47
-29,31,47
-29,26,48
-30,25,48
-33,25,48
-33,23,46
-34,26,45
-36,27,45
-33,29,45
-33,29,45
-31,30,48
-34,32,46
-35,32,46
-36,32,45
-36,30,47
-35,30,42
-31,31,45
-35,30,46
-38,30,43
-36,34,39
-37,34,40
-41,31,47
-43,32,42
-44,32,44
-35,32,42
-38,30,34
-43,27,37
-34,28,42
-1,28,53
-1,29,60
-10,29,62
-11,31,55
-11,31,54
-17,33,51
-13,34,53
-15,33,55
-5,34,59
-4,36,58
-12,36,55
-16,37,59
-13,38,59
3,37,57
-12,35,54
-12,34,51
-13,32,48
