1587326219.000000, 1587326219.000000, 1587326219.000000
32.000000, 32.000000, 32.000000
-33,42,38
-33,43,37
-32,43,37
-32,42,37
-32,42,37
-33,42,38
-33,42,37
-34,41,37
-34,40,38
-33,40,40
-31,40,41
-30,41,41
-32,41,38
-32,42,39
-32,41,40
-31,42,41
-30,42,41
-30,42,38
-30,42,39
-33,42,38
-33,42,38
-32,42,38
-31,42,36
-33,43,35
-31,43,35
-32,43,37
-32,43,39
-30,42,39
-30,43,39
-30,43,39
-30,43,39
-29,43,39
-28,43,39
-29,43,39
-32,43,38
-33,43,37
-29,43,37
-28,42,38
-29,43,38
-30,42,40
-35,43,41
-39,41,41
-58,40,36
-46,40,48
-36,46,56
-18,41,58
1,40,66
8,43,60
10,55,19
18,61,-7
3,62,-10
-30,60,-8
-40,50,2
-32,30,47
-23,39,83
-38,37,71
-57,30,24
-45,38,26
-29,41,36
-25,52,33
-34,55,10
-24,51,16
-3,46,34
-77,61,11
-67,60,8
-33,52,12
-50,37,3
-41,43,19
-16,47,36
-12,48,38
-49,47,4
-35,65,17
-30,64,20
9,51,47
-50,52,12
-64,52,2
-27,49,26
-13,47,47
-35,45,25
-55,55,6
-36,53,11
-47,54,7
-43,48,21
-40,46,21
-39,43,18
-20,40,31
-28,41,28
-36,48,18
-31,54,18
-30,57,17
-32,42,15
-35,28,7
-47,24,7
-66,25,6
-63,31,-12
-46,31,-5
-15,9,48
-43,-6,59
-65,-6,42
-95,20,32
-48,11,48
-53,3,60
-54,9,50
-43,1,56
-40,7,59
-14,8,59
-14,13,54
-4,9,45
-4,10,28
-19,-4,56
-13,-7,56
-19,-21,65
-27,-28,73
-23,-35,96
-10,-42,82
-12,-37,73
3,-41,91
10,-30,85
-10,-22,71
-50,10,52
-2,3,80
-3,-12,83
-20,-17,53
-19,-16,48
-21,-2,40
-36,12,29
-40,20,20
-45,28,21
-53,26,24
-48,26,22
-34,34,20
-44,48,20
-41,52,25
-36,52,34
-32,48,30
-26,44,31
-46,42,13
-50,43,10
-56,40,7
-54,41,4
-47,41,6
-52,43,4
-46,42,5
-47,42,5
-45,41,7
-49,42,5
-50,42,4
-50,41,5
-51,41,6
-50,41,7
-51,41,5
-49,42,7
-48,41,8
-47,42,7
-48,42,7
-48,42,7
-49,42,7
-49,42,7
-49,41,11
-50,42,9
-51,41,7
-49,41,8
-49,42,8
-50,41,7
-51,43,9
-45,41,8
-43,42,5
-53,43,4
-45,43,7
-48,43,7
-55,44,11
-47,41,13
-48,43,3
-45,42,1
-44,44,3
-49,44,12
-48,39,17
-49,38,13
-51,40,10
-49,42,11
-49,41,10
-50,42,11
-51,40,10
-50,40,10
-51,41,9
-49,40,11
-47,41,11
-47,41,12
-48,42,11
-46,42,14
-47,41,14
-50,40,13
-51,39,13
-49,40,16
-50,40,16
-48,40,15
-48,41,14
-47,41,14
-47,40,14
-50,39,13
-51,38,12
-53,38,13
-52,38,12
-50,38,15
-55,37,16
-52,40,16
-49,38,19
-60,40,11
-56,42,9
-42,38,11
-35,40,24
-33,41,31
-21,41,45
-25,39,50
-32,37,49
-35,35,48
-35,38,43
-32,38,42
-32,40,40
-32,41,39
-30,41,39
-29,40,38
-30,40,38
-31,40,41
-31,40,42
-31,40,42
-31,40,41
-32,40,42
-32,40,41
-27,39,43
-25,40,45
-27,38,41
-43,39,30
-44,41,34
-40,40,34
-35,39,39
-33,39,40
-32,39,41
-31,40,40
-32,40,38
-34,40,38
-33,40,39
-33,40,39
-34,40,40
-33,39,40
-33,40,40
-34,40,39
-34,40,39
-34,40,39
-35,40,38
-36,40,38
-35,40,39
-33,40,40
-33,40,39
-33,40,39
-34,40,39
-34,40,39
-35,40,39
-34,40,38
-33,40,38
-34,40,38
-33,40,39
-33,40,39
-34,40,39
-34,40,39
-34,40,38
-34,40,39
-34,40,39
